customer_id,name,city,signup_date
1,Ishaan Nair,Kolkata,14-02-2024
2,Ananya Nair,Mumbai,31-01-2023
3,Arjun Singh,Delhi,23-10-2020
4,Ira Iyer,Kolkata,28-09-2022
5,Kabir Reddy,Hyderabad,26-06-2020
6,Vivaan Singh,Delhi,23-05-2023
7,Ritika Reddy,Delhi,24-08-2022
8,Meera Patel,Kolkata,10-11-2020
9,Meera Reddy,Bangalore,28-11-2022
10,Ira Singh,Hyderabad,15-09-2020
11,Meera Nair,Kolkata,05-10-2024
12,Kabir Khan,Hyderabad,07-01-2020
13,Advait Reddy,Hyderabad,18-02-2020
14,Vivaan Patel,Delhi,10-04-2024
15,Reyansh Iyer,Mumbai,09-06-2020
16,Reyansh Gupta,Hyderabad,24-06-2020
17,Ira Khan,Pune,02-06-2024
18,Ira Sharma,Delhi,22-10-2022
19,Vihaan Das,Bangalore,27-09-2022
20,Rohan Iyer,Mumbai,30-03-2021
21,Ishaan Gupta,Pune,25-07-2024
22,Reyansh Singh,Pune,02-10-2020
23,Vihaan Gupta,Bangalore,12-05-2021
24,Arjun Gupta,Mumbai,10-07-2024
25,Advait Reddy,Delhi,06-11-2021
26,Navya Reddy,Chennai,28-12-2024
27,Arjun Khan,Mumbai,17-11-2022
28,Diya Gupta,Bangalore,18-09-2023
29,Aarav Khan,Pune,21-10-2022
30,Aadhya Das,Delhi,26-04-2023
31,Ira Verma,Mumbai,25-02-2020
32,Ananya Verma,Chennai,30-06-2021
33,Diya Verma,Chennai,09-02-2023
34,Vivaan Iyer,Hyderabad,26-12-2024
35,Navya Das,Hyderabad,26-08-2023
36,Meera Iyer,Kolkata,05-02-2020
37,Rohan Gupta,Bangalore,14-03-2021
38,Ritika Nair,Mumbai,18-10-2024
39,Ishaan Singh,Mumbai,03-06-2024
40,Ira Verma,Kolkata,17-08-2021
41,Ritika Gupta,Pune,19-05-2024
42,Meera Khan,Pune,10-09-2023
43,Vihaan Patel,Kolkata,21-07-2024
44,Reyansh Patel,Pune,02-11-2020
45,Saanvi Khan,Hyderabad,06-04-2024
46,Aadhya Gupta,Mumbai,17-10-2024
47,Nisha Nair,Kolkata,10-09-2021
48,Ritika Das,Mumbai,06-02-2023
49,Meera Reddy,Chennai,27-10-2023
50,Ishaan Patel,Hyderabad,22-12-2020
51,Meera Khan,Delhi,29-06-2020
52,Saanvi Iyer,Hyderabad,11-10-2023
53,Ira Iyer,Kolkata,26-08-2024
54,Ananya Patel,Delhi,08-03-2020
55,Meera Reddy,Chennai,18-10-2020
56,Rohan Sharma,Kolkata,22-11-2021
57,Ritika Nair,Bangalore,29-06-2020
58,Vihaan Nair,Mumbai,29-01-2024
59,Ritika Patel,Chennai,09-03-2021
60,Saanvi Khan,Mumbai,27-01-2024
61,Aarav Singh,Pune,31-08-2024
62,Ishaan Verma,Bangalore,02-07-2022
63,Rohan Sharma,Bangalore,06-04-2024
64,Rohan Verma,Chennai,06-03-2020
65,Aadhya Das,Bangalore,10-11-2022
66,Rohan Gupta,Delhi,23-06-2024
67,Nisha Verma,Bangalore,18-01-2021
68,Arjun Iyer,Mumbai,26-06-2024
69,Kabir Reddy,Mumbai,01-05-2024
70,Saanvi Iyer,Kolkata,08-02-2020
71,Navya Sharma,Mumbai,01-08-2023
72,Reyansh Khan,Kolkata,01-04-2022
73,Vihaan Das,Mumbai,24-08-2021
74,Nisha Singh,Delhi,08-06-2024
75,Saanvi Nair,Kolkata,23-02-2022
76,Nisha Verma,Hyderabad,21-09-2023
77,Nisha Gupta,Pune,26-04-2023
78,Diya Iyer,Chennai,01-11-2021
79,Diya Verma,Mumbai,20-06-2023
80,Vivaan Khan,Bangalore,01-01-2023
81,Ananya Reddy,Mumbai,23-04-2021
82,Ishaan Reddy,Bangalore,14-07-2021
83,Reyansh Khan,Pune,10-04-2020
84,Vivaan Verma,Pune,28-05-2021
85,Aarav Reddy,Pune,14-11-2024
86,Vihaan Singh,Bangalore,24-06-2020
87,Meera Das,Mumbai,25-08-2020
88,Diya Patel,Pune,28-06-2022
89,Diya Nair,Delhi,18-12-2022
90,Nisha Verma,Kolkata,27-01-2023
91,Rohan Patel,Bangalore,20-05-2022
92,Ananya Khan,Bangalore,09-05-2021
93,Navya Verma,Mumbai,04-08-2022
94,Ananya Singh,Bangalore,17-03-2024
95,Vihaan Patel,Bangalore,24-01-2022
96,Saanvi Khan,Pune,13-08-2023
97,Ananya Singh,Mumbai,29-07-2020
98,Krish Nair,Pune,20-02-2023
99,Arjun Sharma,Kolkata,06-06-2023
100,Ishaan Sharma,Kolkata,05-06-2024
101,Vivaan Das,Pune,06-08-2024
102,Meera Verma,Kolkata,12-11-2023
103,Ananya Das,Mumbai,19-05-2020
104,Ananya Khan,Chennai,24-06-2021
105,Reyansh Reddy,Pune,15-11-2023
106,Saanvi Nair,Delhi,26-09-2020
107,Vihaan Patel,Delhi,17-11-2024
108,Aarav Reddy,Bangalore,01-11-2022
109,Ritika Patel,Kolkata,13-11-2023
110,Kabir Khan,Delhi,22-09-2023
111,Ananya Khan,Bangalore,20-05-2021
112,Navya Khan,Chennai,03-02-2023
113,Reyansh Patel,Mumbai,01-02-2020
114,Diya Nair,Mumbai,02-01-2023
115,Ira Gupta,Mumbai,09-04-2023
116,Aarav Reddy,Delhi,28-12-2022
117,Myra Das,Chennai,23-03-2022
118,Rohan Patel,Delhi,27-12-2020
119,Reyansh Verma,Kolkata,30-07-2024
120,Myra Khan,Delhi,27-12-2023
121,Vivaan Nair,Chennai,17-07-2022
122,Navya Verma,Chennai,09-04-2020
123,Ishaan Reddy,Kolkata,08-08-2024
124,Aarav Verma,Chennai,09-01-2020
125,Vihaan Reddy,Chennai,16-05-2024
126,Ritika Sharma,Mumbai,27-11-2021
127,Navya Sharma,Kolkata,18-11-2022
128,Krish Iyer,Hyderabad,11-02-2023
129,Ishaan Iyer,Hyderabad,06-04-2021
130,Reyansh Reddy,Chennai,09-07-2022
131,Vihaan Nair,Hyderabad,12-03-2023
132,Krish Nair,Hyderabad,24-01-2021
133,Myra Gupta,Chennai,23-09-2021
134,Reyansh Nair,Hyderabad,12-11-2021
135,Vivaan Khan,Delhi,05-06-2020
136,Krish Das,Bangalore,30-11-2020
137,Krish Das,Kolkata,16-09-2020
138,Vivaan Reddy,Bangalore,22-03-2020
139,Ritika Gupta,Chennai,23-01-2022
140,Vihaan Patel,Mumbai,04-01-2024
141,Kabir Nair,Kolkata,10-04-2023
142,Nisha Nair,Chennai,08-06-2023
143,Advait Khan,Mumbai,20-12-2021
144,Ishaan Reddy,Bangalore,15-03-2020
145,Arjun Khan,Chennai,17-07-2023
146,Arjun Gupta,Kolkata,17-09-2021
147,Aarav Iyer,Kolkata,02-03-2020
148,Saanvi Singh,Pune,23-05-2022
149,Krish Reddy,Delhi,15-11-2020
150,Aarav Gupta,Hyderabad,11-04-2020
151,Ritika Reddy,Mumbai,23-12-2023
152,Advait Singh,Pune,23-05-2022
153,Aarav Khan,Hyderabad,11-10-2024
154,Navya Gupta,Hyderabad,11-08-2022
155,Saanvi Reddy,Chennai,11-09-2020
156,Ritika Nair,Hyderabad,04-04-2024
157,Ritika Reddy,Delhi,23-07-2021
158,Reyansh Khan,Kolkata,21-04-2020
159,Ishaan Gupta,Pune,11-09-2022
160,Krish Iyer,Hyderabad,29-08-2023
161,Rohan Reddy,Chennai,24-09-2022
162,Arjun Khan,Delhi,05-04-2021
163,Aarav Verma,Bangalore,08-12-2021
164,Aadhya Nair,Kolkata,05-06-2022
165,Aarav Khan,Kolkata,25-01-2024
166,Kabir Verma,Pune,20-01-2023
167,Diya Gupta,Kolkata,11-12-2022
168,Arjun Nair,Hyderabad,03-06-2021
169,Nisha Singh,Chennai,22-03-2022
170,Aadhya Patel,Kolkata,26-01-2023
171,Rohan Sharma,Kolkata,23-08-2020
172,Navya Das,Bangalore,29-10-2023
173,Rohan Nair,Bangalore,23-05-2024
174,Ira Patel,Mumbai,15-07-2022
175,Ira Khan,Delhi,10-07-2021
176,Krish Gupta,Hyderabad,10-10-2021
177,Ishaan Das,Kolkata,21-08-2020
178,Vivaan Iyer,Kolkata,21-11-2022
179,Krish Das,Chennai,05-08-2023
180,Vivaan Reddy,Mumbai,19-07-2024
181,Diya Nair,Delhi,01-08-2021
182,Aarav Nair,Mumbai,25-06-2021
183,Vivaan Gupta,Pune,23-04-2020
184,Navya Gupta,Delhi,22-07-2020
185,Vihaan Das,Kolkata,18-11-2022
186,Ishaan Gupta,Kolkata,04-10-2021
187,Saanvi Nair,Delhi,18-04-2021
188,Kabir Reddy,Kolkata,27-11-2021
189,Diya Gupta,Hyderabad,09-09-2020
190,Kabir Iyer,Delhi,26-12-2024
191,Diya Nair,Mumbai,23-06-2022
192,Myra Gupta,Delhi,20-01-2021
193,Reyansh Gupta,Kolkata,02-03-2020
194,Ananya Singh,Hyderabad,29-05-2021
195,Ira Gupta,Hyderabad,05-03-2021
196,Meera Singh,Pune,02-08-2021
197,Ishaan Patel,Mumbai,09-04-2024
198,Ishaan Gupta,Bangalore,10-09-2024
199,Aarav Iyer,Bangalore,10-03-2023
200,Ishaan Patel,Delhi,12-01-2022
201,Vihaan Khan,Pune,16-08-2023
202,Myra Das,Chennai,05-11-2021
203,Aadhya Sharma,Delhi,06-11-2020
204,Arjun Verma,Pune,15-04-2021
205,Myra Sharma,Mumbai,17-11-2023
206,Arjun Khan,Mumbai,23-07-2024
207,Vihaan Iyer,Mumbai,08-01-2024
208,Navya Nair,Mumbai,16-11-2024
209,Ananya Reddy,Mumbai,19-03-2022
210,Ritika Khan,Pune,20-06-2020
211,Advait Patel,Pune,29-07-2021
212,Saanvi Das,Hyderabad,31-01-2020
213,Vivaan Das,Bangalore,16-02-2020
214,Ishaan Khan,Kolkata,09-05-2020
215,Saanvi Patel,Mumbai,17-12-2020
216,Arjun Das,Chennai,04-09-2022
217,Nisha Gupta,Kolkata,03-07-2024
218,Ananya Verma,Pune,23-05-2024
219,Advait Nair,Chennai,27-02-2020
220,Navya Gupta,Chennai,03-02-2023
221,Vivaan Patel,Chennai,22-03-2022
222,Saanvi Reddy,Hyderabad,15-09-2023
223,Ananya Patel,Pune,06-02-2022
224,Aarav Singh,Chennai,13-11-2021
225,Vihaan Verma,Mumbai,07-11-2023
226,Diya Singh,Delhi,31-03-2023
227,Aadhya Singh,Chennai,23-09-2022
228,Arjun Iyer,Hyderabad,12-10-2020
229,Myra Reddy,Kolkata,30-12-2022
230,Krish Nair,Pune,25-11-2024
231,Ananya Iyer,Hyderabad,17-01-2024
232,Ritika Reddy,Chennai,04-06-2022
233,Krish Gupta,Pune,09-05-2024
234,Vihaan Nair,Delhi,31-01-2021
235,Diya Patel,Chennai,18-03-2024
236,Kabir Nair,Hyderabad,26-01-2020
237,Myra Khan,Bangalore,08-11-2020
238,Reyansh Singh,Mumbai,05-05-2020
239,Kabir Reddy,Kolkata,02-12-2023
240,Aarav Nair,Hyderabad,07-05-2024
241,Diya Gupta,Pune,06-05-2023
242,Saanvi Das,Chennai,21-03-2022
243,Arjun Nair,Mumbai,06-07-2020
244,Saanvi Patel,Chennai,28-11-2021
245,Diya Patel,Pune,20-03-2022
246,Vivaan Reddy,Chennai,16-12-2021
247,Aarav Iyer,Bangalore,16-02-2024
248,Diya Iyer,Mumbai,25-03-2021
249,Myra Khan,Mumbai,06-06-2021
250,Krish Verma,Pune,09-10-2023
251,Rohan Nair,Kolkata,12-09-2022
252,Rohan Singh,Bangalore,19-10-2021
253,Krish Khan,Hyderabad,19-08-2021
254,Ananya Khan,Chennai,09-04-2020
255,Vivaan Khan,Delhi,07-09-2021
256,Rohan Singh,Chennai,05-08-2022
257,Kabir Nair,Chennai,30-04-2024
258,Ananya Khan,Hyderabad,09-07-2021
259,Navya Patel,Chennai,04-10-2020
260,Aarav Khan,Bangalore,12-09-2024
261,Ananya Khan,Bangalore,18-09-2024
262,Aadhya Das,Mumbai,07-07-2024
263,Nisha Sharma,Pune,05-05-2021
264,Ishaan Singh,Kolkata,11-09-2020
265,Meera Das,Delhi,15-01-2021
266,Aarav Reddy,Chennai,10-06-2022
267,Ananya Nair,Chennai,25-06-2021
268,Vivaan Gupta,Hyderabad,11-07-2023
269,Myra Gupta,Pune,21-06-2024
270,Krish Sharma,Bangalore,04-04-2022
271,Vivaan Das,Delhi,28-05-2022
272,Arjun Reddy,Mumbai,14-09-2023
273,Navya Patel,Bangalore,12-02-2023
274,Ananya Nair,Pune,23-07-2023
275,Ananya Verma,Kolkata,20-02-2024
276,Saanvi Das,Mumbai,07-10-2020
277,Aarav Verma,Kolkata,22-07-2023
278,Vivaan Iyer,Hyderabad,11-02-2022
279,Reyansh Singh,Hyderabad,22-04-2022
280,Kabir Khan,Chennai,19-12-2021
281,Diya Gupta,Kolkata,23-11-2020
282,Myra Khan,Pune,29-07-2020
283,Diya Sharma,Delhi,27-12-2021
284,Saanvi Reddy,Mumbai,11-07-2022
285,Nisha Reddy,Bangalore,05-07-2021
286,Vivaan Singh,Pune,26-01-2020
287,Diya Iyer,Pune,27-01-2020
288,Advait Iyer,Hyderabad,02-12-2021
289,Diya Patel,Kolkata,11-01-2023
290,Ishaan Gupta,Chennai,12-11-2021
291,Arjun Das,Chennai,16-02-2021
292,Vihaan Gupta,Mumbai,15-06-2020
293,Nisha Gupta,Hyderabad,19-09-2024
294,Kabir Khan,Pune,17-06-2020
295,Ishaan Das,Delhi,29-12-2024
296,Aadhya Patel,Hyderabad,16-08-2020
297,Saanvi Nair,Mumbai,20-06-2024
298,Vihaan Gupta,Mumbai,01-01-2021
299,Aadhya Reddy,Hyderabad,11-06-2021
300,Aarav Nair,Mumbai,01-03-2022
301,Vihaan Gupta,Hyderabad,28-07-2024
302,Ishaan Khan,Bangalore,10-04-2024
303,Ira Iyer,Hyderabad,07-06-2021
304,Krish Iyer,Kolkata,31-12-2022
305,Arjun Patel,Hyderabad,26-07-2024
306,Krish Reddy,Mumbai,15-04-2020
307,Aarav Patel,Kolkata,01-01-2022
308,Arjun Sharma,Mumbai,22-08-2022
309,Myra Iyer,Chennai,08-09-2024
310,Ira Gupta,Chennai,29-07-2023
311,Navya Reddy,Kolkata,12-05-2020
312,Ritika Patel,Bangalore,17-06-2021
313,Vivaan Reddy,Chennai,01-09-2022
314,Advait Reddy,Hyderabad,25-09-2020
315,Reyansh Singh,Mumbai,06-12-2023
316,Ishaan Nair,Chennai,03-11-2021
317,Ananya Sharma,Chennai,30-06-2024
318,Nisha Verma,Bangalore,01-03-2022
319,Ritika Sharma,Kolkata,05-11-2024
320,Advait Sharma,Kolkata,18-01-2020
321,Ananya Singh,Pune,12-11-2024
322,Ritika Das,Bangalore,26-04-2020
323,Aarav Singh,Hyderabad,08-03-2022
324,Advait Nair,Kolkata,22-12-2024
325,Ira Khan,Mumbai,13-03-2023
326,Aadhya Verma,Bangalore,06-10-2024
327,Krish Nair,Chennai,04-07-2021
328,Meera Iyer,Mumbai,17-07-2022
329,Ananya Iyer,Mumbai,16-08-2024
330,Rohan Reddy,Chennai,07-09-2024
331,Arjun Das,Bangalore,22-01-2022
332,Ananya Reddy,Chennai,25-02-2021
333,Nisha Reddy,Pune,24-10-2023
334,Reyansh Gupta,Mumbai,07-10-2021
335,Aarav Patel,Delhi,11-07-2021
336,Vihaan Reddy,Delhi,19-02-2020
337,Diya Nair,Hyderabad,08-11-2021
338,Advait Khan,Kolkata,15-04-2020
339,Ananya Verma,Chennai,24-05-2023
340,Saanvi Nair,Chennai,19-10-2021
341,Advait Verma,Hyderabad,19-12-2023
342,Rohan Gupta,Hyderabad,31-12-2022
343,Ananya Nair,Hyderabad,14-09-2022
344,Arjun Nair,Mumbai,21-04-2022
345,Advait Reddy,Pune,13-12-2024
346,Rohan Gupta,Chennai,17-11-2024
347,Arjun Gupta,Mumbai,21-03-2021
348,Navya Nair,Hyderabad,24-04-2023
349,Meera Das,Chennai,10-03-2020
350,Diya Singh,Mumbai,29-05-2020
351,Ananya Verma,Pune,23-06-2023
352,Nisha Singh,Mumbai,12-02-2022
353,Saanvi Sharma,Pune,10-04-2024
354,Advait Gupta,Hyderabad,02-08-2024
355,Vihaan Gupta,Pune,27-01-2023
356,Ananya Khan,Chennai,25-07-2023
357,Myra Patel,Hyderabad,05-05-2024
358,Arjun Patel,Chennai,13-08-2024
359,Rohan Das,Delhi,01-08-2022
360,Ananya Singh,Bangalore,30-03-2021
361,Ritika Singh,Pune,01-02-2023
362,Krish Sharma,Bangalore,03-08-2022
363,Reyansh Khan,Bangalore,23-08-2021
364,Diya Singh,Pune,14-10-2021
365,Arjun Khan,Hyderabad,25-12-2021
366,Diya Patel,Delhi,20-08-2020
367,Myra Gupta,Chennai,18-11-2023
368,Aarav Khan,Mumbai,04-03-2024
369,Myra Patel,Chennai,14-09-2024
370,Myra Reddy,Mumbai,07-09-2020
371,Arjun Das,Chennai,24-03-2024
372,Vihaan Sharma,Pune,19-03-2020
373,Vivaan Singh,Delhi,11-12-2022
374,Nisha Khan,Mumbai,16-06-2022
375,Arjun Gupta,Kolkata,09-07-2022
376,Reyansh Sharma,Hyderabad,19-02-2022
377,Advait Iyer,Chennai,13-08-2020
378,Ritika Sharma,Chennai,10-12-2022
